Quarter End Date,Open,High,Low,Close,Volume,Dividends,ETF
2020-06-30,5672.0,6511.7998046875,5395.10009765625,6169.7001953125,66990816600,0.0,^FTSE
2020-09-30,6169.7001953125,6323.60009765625,5771.5,5866.10009765625,44887873700,0.0,^FTSE
2020-12-31,5866.10009765625,6676.60009765625,5525.5,6460.5,56543887300,0.0,^FTSE
2021-03-31,6460.5,6903.60009765625,6397.2001953125,6713.60009765625,50216358300,0.0,^FTSE
2021-06-30,6713.60009765625,7217.5,6713.60009765625,7037.5,42856760500,0.0,^FTSE
2021-09-30,7037.5,7224.5,6813.0,7086.39990234375,41672896700,0.0,^FTSE
2021-12-31,7086.39990234375,7457.10009765625,6945.5,7384.5,48446612400,0.0,^FTSE
2022-03-31,7384.5,7687.2998046875,6788.0,7515.7001953125,65397059500,0.0,^FTSE
2022-06-30,7515.7001953125,7669.60009765625,6998.2001953125,7169.2998046875,55180896700,0.0,^FTSE
2022-09-30,7169.2998046875,7578.89990234375,6829.2998046875,6893.7998046875,53510773300,0.0,^FTSE
2022-12-31,6893.7998046875,7599.7001953125,6707.60009765625,7451.7001953125,48143361800,0.0,^FTSE
2023-03-31,7451.7001953125,8047.10009765625,7206.7998046875,7631.7001953125,56556122100,0.0,^FTSE
2023-06-30,7631.7001953125,7936.10009765625,7401.2001953125,7531.5,47754970900,0.0,^FTSE
2023-09-30,7531.5,7746.5,7215.7998046875,7608.10009765625,43792296900,0.0,^FTSE
2023-12-31,7608.10009765625,7762.89990234375,7279.89990234375,7733.2001953125,46415892600,0.0,^FTSE
2024-03-31,7733.2001953125,7975.39990234375,7404.10009765625,7952.60009765625,67369662800,0.0,^FTSE
2024-06-30,7952.60009765625,8474.400390625,7793.89990234375,8164.10009765625,62871656900,0.0,^FTSE
2024-09-30,8164.10009765625,8414.400390625,7915.89990234375,8237.0,51148480200,0.0,^FTSE
2024-12-31,8237.0,8395.599609375,7995.89990234375,8173.0,51708165300,0.0,^FTSE
2025-03-31,8173.0,8820.900390625,8160.60009765625,8809.7001953125,37639789800,0.0,^FTSE
2020-03-31,11891.8701171875,12272.990234375,8255.650390625,9935.83984375,5101372000,0.0,^GDAXI
2020-06-30,9610.669921875,12913.1298828125,9337.01953125,12310.9296875,7484102200,0.0,^GDAXI
